strain	accession	segment	date	virus
A/duck/Laos/NL-2072063/2020	EPI_ISL_1291196	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072060/2020	EPI_ISL_1291195	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072073/2020	EPI_ISL_1290975	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072072/2020	EPI_ISL_1290974	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072071/2020	EPI_ISL_1290973	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072070/2020	EPI_ISL_1290972	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072069/2020	EPI_ISL_1290971	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072068/2020	EPI_ISL_1290970	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072067/2020	EPI_ISL_1290969	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072065/2020	EPI_ISL_1290968	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072064/2020	EPI_ISL_1290967	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072062/2020	EPI_ISL_1290966	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072061/2020	EPI_ISL_1290965	HA	2020-10-16	A / H5N1
A/duck/Laos/Xiengkhouang04/2019	EPI_ISL_1290868	HA	2019-02-22	A / H5N1
A/duck/Laos/Xiengkhouang03/2019	EPI_ISL_1290867	HA	2019-02-22	A / H5N1
A/duck/Laos/Xiengkhouang02/2019	EPI_ISL_1290866	HA	2019-02-22	A / H5N1
A/duck/Laos/Xiengkhouang01/2019	EPI_ISL_1290865	HA	2019-02-22	A / H5N1
A/chicken/LongAn/1428VTC/2019	EPI_ISL_404984	HA	2019-01-03	A / H5N1
A/chicken/LongAn/1427VTC/2019	EPI_ISL_404209	HA	2019-01-03	A / H5N1
A/chicken/NgheAn/08VTC/2018	EPI_ISL_389076	HA	2018-01-09	A / H5N1
